Instances,feature_age,feature_job,feature_marital,feature_education,feature_default,feature_balance,feature_housing,feature_loan,feature_contact,feature_day,feature_month,feature_duration,feature_campaign,feature_pdays,feature_previous,feature_poutcome,algo_DT
instance_0,0,0,0,0,0,0.018018018,1,0,0,0,0.090909091,0.081632653,0.080645161,0.068181818,0.068965517,0,0
instance_0,0,0,0,0,0,0.018018018,0,0,0,0.033333333,0,0,0.758064516,0.761363636,0.75862069,0.333333333,0
instance_0,0,0.090909091,0,0,0,0.081081081,0,1,0,0.066666667,0,0.06122449,0.080645161,0.079545455,0.068965517,0,0
instance_0,0,0.181818182,0.5,0,0,0.234234234,0,0,0,0.033333333,0.090909091,0.020408163,0.032258065,0.034090909,0.034482759,0.333333333,0
instance_0,0,0.272727273,0,0,0,0.234234234,0,1,0,0.033333333,0,0.020408163,0.048387097,0.034090909,0.034482759,0,0
instance_0,0,0.090909091,0.5,0,0,0.09009009,0,0,0,0.066666667,0.090909091,0.081632653,0.080645161,0.090909091,0.068965517,0.333333333,0
instance_0,0,0.090909091,0,0,0,0.09009009,0,1,0,0.033333333,0,0.102040816,0.096774194,0.090909091,0.086206897,0,0
instance_0,0,0.181818182,0,0,0,0.072072072,0,0,0,0.033333333,0,0.06122449,0.064516129,0.068181818,0.051724138,0,0
instance_0,0,0,0,0,0,0.018018018,0,0,0.5,0,0.090909091,0,0,0.704545455,0.706896552,0.666666667,0
instance_0,0,0,0,0,0,0.081081081,1,0,0.5,0.1,0,0.06122449,0.064516129,0.068181818,0.068965517,0,0
instance_0,0,0.090909091,0,0.333333333,0,0.09009009,0,0,0,0.1,0.090909091,0.081632653,0.677419355,0.670454545,0.672413793,0.333333333,0
instance_0,0,0,0,0,0,0.072072072,1,0,0,0.066666667,0,0.081632653,0.048387097,0.079545455,0.068965517,0,0
instance_0,0,0.181818182,0,0.333333333,0,0.09009009,0,0,0,0.066666667,0.090909091,0.081632653,0.096774194,0.090909091,0.103448276,0.333333333,0
instance_0,0,0,1,0,0,0.063063063,0,0,0,0.033333333,0,0.06122449,0.064516129,0.056818182,0.051724138,0,0
instance_0,0,1,0,0,0,0.099099099,1,0,0.5,0.1,0.090909091,0.081632653,0.080645161,0.090909091,0.086206897,0,0
instance_0,0,0,0,0.333333333,0,0.063063063,1,0,0,0.066666667,0,0.06122449,0.080645161,0.056818182,0.051724138,0,0
instance_0,0,0.090909091,0,0,0,0.099099099,0,0,0,0.1,0.181818182,0.102040816,0.096774194,0.090909091,0.086206897,0.333333333,0
instance_0,0,0.181818182,0,0,0,0.072072072,0,0,0,0.066666667,0,0.081632653,0.064516129,0.068181818,0.068965517,0.333333333,0
instance_0,0,0,0,0,0,0.081081081,0,0,0.5,0.066666667,0.090909091,0.081632653,0.080645161,0.079545455,0.086206897,0.333333333,0
instance_0,0,0.090909091,0,0,1,0.09009009,0,0,0,0.066666667,0,0.102040816,0.096774194,0.102272727,0.086206897,0,0
instance_0,0,0,0.5,0,0,0.081081081,0,1,0,0.066666667,0,0.102040816,0.064516129,0.068181818,0.068965517,0,0
instance_0,0,0,0,0,0,0.072072072,0,0,0,0,0,0.06122449,0.064516129,0.068181818,0.068965517,0,0
instance_0,0,0,0,0,0,0.063063063,0,1,0.5,0.066666667,0.090909091,0.06122449,0.064516129,0.068181818,0.068965517,0,0
instance_0,0,0,0,0,0,0.018018018,1,0,0,0.033333333,0.090909091,0.081632653,0.096774194,0.079545455,0.068965517,0,0
instance_0,0,0,0,0,0,0.018018018,1,0,0,0.033333333,0.181818182,0.081632653,0.080645161,0.079545455,0.068965517,0,0
instance_0,0,0,0,0.333333333,0,0.027027027,1,0,0,0,0.090909091,0.081632653,0.080645161,0.079545455,0.051724138,0,0
