Instances,feature_age,feature_workclass,feature_fnlwgt,feature_education,feature_marital_status,feature_occupation,feature_relationship,feature_race,feature_sex,feature_capital_gain,feature_capital_loss,feature_hours_per_week,feature_native_country,algo_MLPC_standard_unfair
instance_0,1.0,0.5714285714285714,0.48717948717948717,0.5333333333333333,0.6666666666666666,0.07692307692307693,0.8,0.0,0.0,0.5757575757575758,0.02564102564102564,0.5656565656565657,0.5641025641025641,0
instance_0,1.0,0.8571428571428571,0.41025641025641024,0.4,0.8333333333333333,0.9230769230769231,0.6000000000000001,0.75,0.0,0.5555555555555556,0.0,0.5050505050505051,0.5641025641025641,0
instance_0,0.875,0.5714285714285714,0.48717948717948717,0.5333333333333333,0.3333333333333333,0.15384615384615385,1.0,0.25,0.0,0.5757575757575758,0.02564102564102564,0.5656565656565657,0.5641025641025641,0
instance_0,0.125,0.0,0.8717948717948718,0.7333333333333333,0.8333333333333333,0.7692307692307693,1.0,0.75,0.0,0.888888888888889,0.23076923076923075,0.14141414141414144,0.28205128205128205,0
instance_0,0.875,0.42857142857142855,0.05128205128205128,0.4,0.3333333333333333,0.46153846153846156,1.0,0.5,0.0,0.12121212121212122,0.0,0.15151515151515152,0.1282051282051282,0
instance_0,0.75,0.5714285714285714,0.5641025641025641,0.5333333333333333,0.16666666666666666,0.5384615384615385,0.8,0.75,0.0,0.5454545454545455,0.10256410256410256,0.6565656565656566,0.6666666666666666,0
instance_0,0.25,0.7142857142857142,0.5897435897435898,0.26666666666666666,0.5,0.23076923076923078,0.6000000000000001,0.75,0.0,0.5656565656565657,0.6923076923076923,0.5454545454545455,0.5641025641025641,0
instance_0,1.0,0.5714285714285714,0.20512820512820512,0.13333333333333333,0.3333333333333333,0.0,0.8,0.0,0.0,0.16161616161616163,0.0,0.17171717171717174,0.1794871794871795,0
instance_0,0.75,0.5714285714285714,0.20512820512820512,0.06666666666666667,1.0,0.3076923076923077,0.8,0.25,0.0,0.14141414141414144,0.0,0.06060606060606061,0.23076923076923075,0
instance_0,0.75,0.0,0.0,0.06666666666666667,1.0,0.38461538461538464,0.8,0.25,0.0,0.06060606060606061,0.05128205128205128,0.04040404040404041,0.02564102564102564,0
instance_0,1.0,0.42857142857142855,0.5384615384615384,0.4666666666666667,0.8333333333333333,0.6923076923076923,1.0,0.0,0.0,0.5555555555555556,0.0,0.9595959595959597,0.9743589743589743,0
instance_0,0.875,0.7142857142857142,0.10256410256410256,0.0,0.8333333333333333,0.0,0.8,1.0,0.0,0.06060606060606061,0.02564102564102564,0.05050505050505051,0.02564102564102564,0
instance_0,0.875,0.5714285714285714,0.10256410256410256,0.4,0.16666666666666666,0.7692307692307693,1.0,0.75,0.0,0.13131313131313133,0.07692307692307693,0.13131313131313133,0.10256410256410256,0
instance_0,1.0,0.7142857142857142,0.6153846153846154,0.6666666666666666,0.8333333333333333,0.6153846153846154,0.4,0.0,0.0,0.5757575757575758,0.641025641025641,0.5757575757575758,0.5641025641025641,0
instance_0,0.625,0.7142857142857142,0.15384615384615385,0.3333333333333333,1.0,0.7692307692307693,0.8,0.0,0.0,0.13131313131313133,0.02564102564102564,0.17171717171717174,0.1282051282051282,0
instance_0,0.375,1.0,0.15384615384615385,0.0,0.5,0.07692307692307693,0.8,0.25,0.0,0.14141414141414144,0.02564102564102564,0.05050505050505051,0.2564102564102564,0
instance_0,1.0,0.42857142857142855,0.9487179487179487,0.9333333333333333,0.8333333333333333,0.6923076923076923,1.0,1.0,0.0,0.4040404040404041,0.02564102564102564,0.4040404040404041,0.41025641025641024,0
instance_0,0.0,1.0,0.0,0.8,0.0,0.46153846153846156,0.6000000000000001,0.25,0.0,0.8282828282828284,0.8205128205128205,0.696969696969697,0.9487179487179487,0
instance_0,0.0,0.0,0.07692307692307693,0.06666666666666667,0.0,0.07692307692307693,0.2,0.25,0.0,0.30303030303030304,0.3076923076923077,0.30303030303030304,0.3076923076923077,0
instance_0,1.0,1.0,0.641025641025641,0.4666666666666667,0.6666666666666666,0.6923076923076923,1.0,0.5,0.0,0.5555555555555556,0.358974358974359,0.5555555555555556,0.5641025641025641,0
instance_0,1.0,0.7142857142857142,0.9487179487179487,1.0,0.6666666666666666,1.0,0.8,0.5,0.0,0.4040404040404041,0.0,0.4141414141414142,0.41025641025641024,0
