Instances,feature_job,feature_marital,feature_education,feature_default,feature_balance,feature_housing,feature_loan,feature_contact,feature_day_of_week,feature_month,feature_duration,feature_campaign,feature_pdays,feature_previous,feature_poutcome,algo_RF
instance_0,0.454545455,0.5,0.666666667,0,0.288288288,0,1,1,0.633333333,0.454545455,0.714285714,0.612903226,0.522727273,0.517241379,0.666666667,0
instance_0,0.454545455,0.5,0.666666667,0,0.288288288,0,1,1,0.633333333,0.454545455,0.714285714,0.612903226,0.522727273,0.517241379,0.666666667,0
instance_0,0.454545455,0.5,0.666666667,0,0.288288288,0,1,1,0.633333333,0.454545455,0.714285714,0.612903226,0.522727273,0.517241379,0.666666667,0
instance_0,0.454545455,0.5,0.666666667,0,0.288288288,0,1,1,0.633333333,0.454545455,0.714285714,0.612903226,0.522727273,0.517241379,0.666666667,0
instance_0,0.454545455,0.5,0.666666667,0,0.288288288,0,1,1,0.633333333,0.454545455,0.714285714,0.612903226,0.522727273,0.517241379,0.666666667,0
instance_0,0.454545455,0.5,0.666666667,0,0.288288288,0,1,1,0.633333333,0.454545455,0.714285714,0.612903226,0.522727273,0.517241379,0.666666667,0
instance_0,0.454545455,0.5,0.666666667,0,0.288288288,0,1,1,0.633333333,0.454545455,0.714285714,0.612903226,0.522727273,0.517241379,0.666666667,0
instance_0,0.454545455,0.5,0.666666667,0,0.288288288,0,1,1,0.633333333,0.454545455,0.714285714,0.612903226,0.522727273,0.517241379,0.666666667,0
instance_0,0.454545455,0.5,0.666666667,0,0.288288288,0,1,1,0.633333333,0.454545455,0.714285714,0.612903226,0.522727273,0.517241379,0.666666667,0
instance_0,0.454545455,0.5,0.666666667,0,0.288288288,0,1,1,0.633333333,0.454545455,0.714285714,0.612903226,0.522727273,0.517241379,0.666666667,0
instance_0,0.454545455,0.5,0.666666667,0,0.288288288,0,1,1,0.633333333,0.454545455,0.714285714,0.612903226,0.522727273,0.517241379,0.666666667,0
instance_0,0.454545455,0.5,0.666666667,0,0.288288288,0,1,1,0.633333333,0.454545455,0.714285714,0.612903226,0.522727273,0.517241379,0.666666667,0
instance_0,0.454545455,0.5,0.666666667,0,0.288288288,0,1,1,0.633333333,0.454545455,0.714285714,0.612903226,0.522727273,0.517241379,0.666666667,0
instance_0,0.454545455,0.5,0.666666667,0,0.288288288,0,1,1,0.633333333,0.454545455,0.714285714,0.612903226,0.522727273,0.517241379,0.666666667,0
instance_0,0.454545455,0.5,0.666666667,0,0.288288288,0,1,1,0.633333333,0.454545455,0.714285714,0.612903226,0.522727273,0.517241379,0.666666667,0
instance_0,0.454545455,0.5,0.666666667,0,0.288288288,0,1,1,0.633333333,0.454545455,0.714285714,0.612903226,0.522727273,0.517241379,0.666666667,0
instance_0,0.454545455,0.5,0.666666667,0,0.288288288,0,1,1,0.633333333,0.454545455,0.714285714,0.612903226,0.522727273,0.517241379,0.666666667,0
instance_0,0.727272727,1,0.666666667,1,0.684684685,1,1,1,0.7,0.727272727,0.693877551,0.693548387,0.681818182,0.689655172,0.666666667,0
instance_0,0.727272727,1,0.666666667,1,0.684684685,1,1,1,0.7,0.727272727,0.693877551,0.693548387,0.681818182,0.689655172,0.666666667,0
instance_0,0.727272727,1,0.666666667,1,0.684684685,1,1,1,0.7,0.727272727,0.693877551,0.693548387,0.681818182,0.689655172,0.666666667,0
instance_0,0.727272727,1,0.666666667,1,0.684684685,1,1,1,0.7,0.727272727,0.693877551,0.693548387,0.681818182,0.689655172,0.666666667,0
instance_0,0.727272727,1,0.666666667,1,0.684684685,1,1,1,0.7,0.727272727,0.693877551,0.693548387,0.681818182,0.689655172,0.666666667,0
instance_0,0.727272727,1,0.666666667,1,0.684684685,1,1,1,0.7,0.727272727,0.693877551,0.693548387,0.681818182,0.689655172,0.666666667,0
